title;description;url;website_url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/Genbuos/PythonWebsite;https://genbuos-web-todo-web-tfq2gm.streamlit.app;1.png
Portfolio Website;A website built in Python and html to showcase coding projects and apps.;https://github.com/Genbuos/PythonWebsite;#
Food Truck App;A mobile and web app that allows foodtruck management and orders for 7 different foodtrucks.;https://pythonhow.com;#
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://pythonhow.com;#;4.png
